"Question ID","Question","Answer"
"Question ID 1","Have you previously posted software on the Internet?","No"
"Question ID 2","Would you be willing to share a notebook you write on the website https://www.kaggle.com/kernels?","No"
"Question ID 3","Would you be willing to share a notebook you write on the website https://github.com/?","No"
"Question ID 4","Would you be willing to share a notebook you write on the website https://swe.umbc.edu/?","No"
"Question ID 5","Would you want your name (first only, last only, or first and last) or email associated with a notebook on the Internet?","No"
"Question ID 6","Please use this section to provide feedback on issues raised above (which website to use, whether to associate your name/email) and issues that are important to you regarding this idea.","Not sure what the benefit would be, so leaning towards no. </p>  <p>I am brand new to python and jupyter notebooks, so I don't feel like anything I write is publication-ready."
"Question ID 1","Have you previously posted software on the Internet?","No"
"Question ID 2","Would you be willing to share a notebook you write on the website https://www.kaggle.com/kernels?","Yes"
"Question ID 3","Would you be willing to share a notebook you write on the website https://github.com/?","Yes"
"Question ID 4","Would you be willing to share a notebook you write on the website https://swe.umbc.edu/?","Yes"
"Question ID 5","Would you want your name (first only, last only, or first and last) or email associated with a notebook on the Internet?","No"
"Question ID 6","Please use this section to provide feedback on issues raised above (which website to use, whether to associate your name/email) and issues that are important to you regarding this idea.","Would like any shared journal to be anonymous."
"Question ID 1","Have you previously posted software on the Internet?","Yes"
"Question ID 2","Would you be willing to share a notebook you write on the website https://www.kaggle.com/kernels?","Yes"
"Question ID 3","Would you be willing to share a notebook you write on the website https://github.com/?","Yes"
"Question ID 4","Would you be willing to share a notebook you write on the website https://swe.umbc.edu/?","Yes"
"Question ID 5","Would you want your name (first only, last only, or first and last) or email associated with a notebook on the Internet?","Yes"
"Question ID 6","Please use this section to provide feedback on issues raised above (which website to use, whether to associate your name/email) and issues that are important to you regarding this idea.","<Unanswered>"
"Question ID 1","Have you previously posted software on the Internet?","No"
"Question ID 2","Would you be willing to share a notebook you write on the website https://www.kaggle.com/kernels?","<Unanswered>"
"Question ID 3","Would you be willing to share a notebook you write on the website https://github.com/?","<Unanswered>"
"Question ID 4","Would you be willing to share a notebook you write on the website https://swe.umbc.edu/?","<Unanswered>"
"Question ID 5","Would you want your name (first only, last only, or first and last) or email associated with a notebook on the Internet?","<Unanswered>"
"Question ID 6","Please use this section to provide feedback on issues raised above (which website to use, whether to associate your name/email) and issues that are important to you regarding this idea.","<Unanswered>"
"Question ID 1","Have you previously posted software on the Internet?","Yes"
"Question ID 2","Would you be willing to share a notebook you write on the website https://www.kaggle.com/kernels?","Yes"
"Question ID 3","Would you be willing to share a notebook you write on the website https://github.com/?","Yes"
"Question ID 4","Would you be willing to share a notebook you write on the website https://swe.umbc.edu/?","Yes"
"Question ID 5","Would you want your name (first only, last only, or first and last) or email associated with a notebook on the Internet?","Yes"
